wahlbezirk_nr,wahlbezirk,Wahlb ohne Sperrv,Wahlb mit Sperrv,Wahlb nach�9,Wahlb insges,waehler_insgesamt,dav mit Wahl-schein,Ung�lt Stimmen,G�ltige Stimmen,cdu,spd,gruene,fdp,uwg_ms,die_linke,oedp,Seemann (Einzelbew),Schulte (Einzelbew),piraten
B520,Brief Gremmendorf 1,0,0,0,0,646,0,2,644,341,123,92,51,8,14,1,-,-,14
B620,Brief Gremmendorf 2,0,0,0,0,520,0,3,517,226,111,81,55,9,10,5,-,-,20
B521,Brief Wolbeck 1,0,0,0,0,522,0,1,521,260,117,59,63,6,5,3,-,-,8
B621,Brief Wolbeck 2,0,0,0,0,689,0,4,685,331,134,91,95,4,13,4,-,-,13
B522,Brief Angelmodde 1,0,0,0,0,435,0,2,433,246,63,56,54,6,7,1,-,-,-
B622,Brief Angelmodde 2,0,0,0,0,501,0,0,501,234,130,61,47,15,10,4,-,-,-
8,S�dost ges,17902,3515,0,21417,12844,0,73,12771,6083,2891,1934,1111,154,333,65,-,-,200
231,Siemensstra�e,685,129,0,814,282,0,2,280,90,100,39,28,2,18,3,-,-,-
232,Vennheideweg,897,188,0,1085,372,0,5,367,121,108,56,48,11,19,4,-,-,-
233,H�nenburg,991,265,0,1256,501,0,7,494,207,125,61,69,2,22,8,-,-,-
234,Wielandstra�e,1187,157,0,1344,633,0,4,629,233,187,117,50,5,27,10,-,-,-
235,Albertsheide,715,90,0,805,280,0,1,279,115,74,29,42,7,9,3,-,-,-
236,Hogenbergstra�e,1118,127,0,1245,394,0,6,388,151,174,22,14,6,15,6,-,-,-
237,Am Berg Fidel,854,96,0,950,214,0,3,211,79,94,15,8,1,13,1,-,-,-
241,Ringstra�e,1131,195,0,1326,664,0,3,661,295,195,94,44,6,24,3,-,-,-
242,Paul-Klee-Weg,819,177,0,996,479,0,2,477,227,132,58,50,4,5,1,-,-,-
243,Emil-Nolde-Weg,605,168,0,773,398,0,5,393,203,105,33,38,5,9,0,-,-,-
244,H�lsheide,1007,150,0,1157,472,0,2,470,196,155,52,47,1,15,4,-,-,-
245,Am Roggenkamp,1097,158,0,1255,556,0,8,548,241,163,53,61,4,22,4,-,-,-
251,Geistkamp,1212,382,0,1594,709,0,5,704,362,178,67,78,6,12,1,-,-,-
252,H�lsebrockstra�e,1345,310,0,1655,690,0,2,688,323,177,60,88,8,27,5,-,-,-
253,Marktallee,1274,188,0,1462,550,0,5,545,240,145,57,61,14,23,5,-,-,-
254,Am Klosterwald,1388,191,0,1579,608,0,4,604,220,181,99,69,14,13,8,-,-,-
255,Friedhofstra�e,1439,230,0,1669,497,0,6,491,224,121,53,52,15,21,5,-,-,-
261,Loevelingloh,859,133,0,992,418,0,4,414,280,48,39,37,4,6,0,-,-,-
262,Theodor-Storm-Stra�e,1177,189,0,1366,599,0,4,595,257,139,90,75,12,20,2,-,-,-
263,Langestra�e,822,85,0,907,333,0,2,331,140,85,42,37,5,19,3,-,-,-
264,Hansestra�e,1101,182,0,1283,532,0,5,527,239,122,91,43,13,17,2,-,-,-
265,Auf der Woort,1940,272,0,2212,993,0,7,986,488,250,127,71,16,28,6,-,-,-
266,Pater-Kolbe-Stra�e,1128,214,0,1342,585,0,1,584,301,148,65,46,7,13,4,-,-,-
B523,Brief Berg Fidel 1,0,0,0,0,552,0,3,549,259,139,49,75,9,16,2,-,-,-
B623,Brief Berg Fidel 2,0,0,0,0,418,0,4,414,184,119,44,47,9,10,1,-,-,-
B524,Brief Hiltrup-Ost,0,0,0,0,798,0,5,793,370,205,82,98,13,22,3,-,-,-
B525,Brief Hiltrup-Mitte 1,0,0,0,0,587,0,1,586,351,104,37,79,7,7,1,-,-,-
B625,Brief Hiltrup-Mitte 2,0,0,0,0,583,0,11,572,281,134,46,74,17,16,4,-,-,-
B526,Brief Amelsb�ren 1,0,0,0,0,530,0,6,524,254,86,70,84,11,16,3,-,-,-
B626,Brief Amelsb�ren 2,0,0,0,0,457,0,1,456,254,102,40,46,6,6,2,-,-,-
9,Hiltrup ges,24791,4276,0,29067,15684,0,124,15560,7185,4095,1787,1659,240,490,104,-,-,-
271,Oberort,1212,172,0,1384,709,0,6,703,400,164,50,64,4,14,7,-,-,-
272,Heroldstra�e,1088,255,0,1343,637,0,3,634,271,136,140,62,4,17,4,-,-,-
273,Albachtener Stra�e/Steinkuhle,1415,235,0,1650,718,0,3,715,328,210,72,65,14,21,5,-,-,-
274,In der Weede,1104,199,0,1303,611,0,5,606,234,189,86,60,13,21,3,-,-,-
281,Dingb�ngerweg,825,219,0,1044,458,0,3,455,185,124,74,48,2,14,0,-,-,8
282,Ossenkampstiege,1237,264,0,1501,575,0,2,573,218,157,105,48,3,22,5,-,-,15
283,Am Dill,811,185,0,996,473,0,2,471,143,150,117,29,9,10,1,-,-,12
284,Rote Erde,879,123,0,1002,443,0,2,441,183,121,87,25,7,12,2,-,-,4
285,Hesselmann,1208,147,0,1355,667,0,3,664,215,191,152,48,11,29,3,-,-,15
291,Havixbecker Stra�e,1511,221,0,1732,793,0,7,786,461,139,79,70,13,17,7,-,-,-
292,Altenroxeler Stra�e,965,201,0,1166,404,0,1,403,194,107,48,34,6,13,1,-,-,-
293,Stellmacherweg,1049,258,0,1307,548,0,1,547,284,116,51,68,11,16,1,-,-,-
294,Paul-Gerhardt-Stra�e,853,169,0,1022,414,0,2,412,210,91,54,30,5,16,6,-,-,-
295,Schelmenstiege,1049,267,0,1316,527,0,2,525,233,140,83,39,12,11,7,-,-,-
301,Bentelerstra�e,930,237,0,1167,396,0,1,395,91,120,96,42,8,11,2,-,-,25
302,Philippistra�e,679,141,0,820,235,0,1,234,55,65,70,15,0,15,2,-,-,12
303,Sentruper H�he,1239,421,0,1660,622,0,5,617,238,150,114,75,8,9,4,-,-,19
304,Redigerstra�e,1075,313,0,1388,760,0,3,757,319,139,185,81,9,9,5,-,-,10
311,Heekweg,703,134,0,837,207,0,1,206,53,43,56,24,4,16,0,-,-,10
312,N�nningweg,892,258,0,1150,534,0,1,533,202,110,131,49,7,22,7,-,-,5
313,Ramertsweg,887,198,0,1085,577,0,1,576,235,119,127,44,19,12,7,-,-,13
314,Dieckmannstra�e,1544,164,0,1708,710,0,7,703,251,143,169,62,26,25,6,-,-,21
315,Doornbeckeweg,769,137,0,906,406,0,5,401,165,100,73,29,10,7,6,-,-,11
321,Legdenweg,1408,175,0,1583,507,0,2,505,131,159,108,36,15,28,7,-,-,21
322,Gievenbecker Weg,813,184,0,997,449,0,3,446,140,118,90,55,10,8,12,-,-,13
323,Potstiege,1245,285,0,1530,679,0,5,674,231,173,97,110,8,32,3,-,-,20
324,Twenteweg,1019,192,0,1211,447,0,3,444,147,92,91,62,13,16,17,-,-,6
325,Gescherweg,789,175,0,964,257,0,0,257,51,74,69,31,2,13,1,-,-,16
331,H�ger,685,99,0,784,440,0,3,437,206,44,48,39,79,6,1,-,-,14
332,Sebastianstra�e,1391,298,0,1689,749,0,6,743,328,168,93,103,16,10,4,-,-,21
333,Stefan-Zweig-Stra�e,1104,281,0,1385,593,0,7,586,280,120,87,49,17,18,0,-,-,15
334,Von-Schonebeck-Ring,1136,285,0,1421,625,0,9,616,261,143,83,64,20,20,2,-,-,23
B527,Brief Albachten 1,0,0,0,0,397,0,7,390,179,84,63,53,1,6,4,-,-,-
B627,Brief Albachten 2,0,0,0,0,403,0,1,402,199,96,45,42,10,10,0,-,-,-
B528,Brief Mecklenbeck 1,0,0,0,0,452,0,0,452,204,79,70,72,4,13,3,-,-,7
B628,Brief Mecklenbeck 2,0,0,0,0,422,0,0,422,157,113,79,37,10,10,2,-,-,14
B529,Brief Roxel 1,0,0,0,0,565,0,4,561,325,106,48,55,14,11,2,-,-,-
B629,Brief Roxel 2,0,0,0,0,502,0,2,500,263,104,47,64,10,8,4,-,-,-
B530,Brief Sentrup 1,0,0,0,0,462,0,1,461,170,94,83,74,6,14,5,-,-,15
B630,Brief Sentrup 2,0,0,0,0,503,0,0,503,200,97,108,57,6,16,5,-,-,14
B531,Brief Gievenbeck-S�d 1,0,0,0,0,414,0,0,414,165,96,94,32,5,4,6,-,-,12
B631,Brief Gievenbeck-S�d 2,0,0,0,0,401,0,1,400,173,87,81,34,5,9,3,-,-,8
B532,Brief Gievenbeck-Nord 1,0,0,0,0,491,0,6,485,179,99,100,57,16,13,6,-,-,15
B632,Brief Gievenbeck-Nord 2,0,0,0,0,438,0,1,437,163,96,61,78,10,8,9,-,-,12
B533,Brief Nienberge 1,0,0,0,0,352,0,3,349,163,74,49,24,19,3,5,-,-,12
B633,Brief Nienberge 2,0,0,0,0,541,0,2,539,281,77,63,70,18,16,2,-,-,12
5,West ges,33514,6892,0,40406,23513,0,133,23380,9764,5417,3976,2409,519,651,194,-,-,450
011,J�defelderstra�e,918,195,0,1113,431,0,3,428,135,93,123,37,2,20,4,-,-,14
012,Spiekerhof,715,432,0,1147,387,0,2,385,185,58,74,37,4,8,4,-,-,15
013,Sonnenstra�e,772,248,0,1020,384,0,0,384,154,78,87,33,6,10,2,-,-,14
014,Prinzipalmarkt,953,399,0,1352,448,0,2,446,154,104,88,55,8,10,3,-,-,24
015,Aegidii,900,227,0,1127,440,0,3,437,147,106,101,43,6,9,1,-,-,24
016,�berwasser,790,222,0,1012,367,0,1,366,132,80,98,20,4,16,6,-,-,10
021,Kapuzinerstra�e,1258,294,0,1552,548,0,3,545,183,121,135,54,10,20,1,-,-,21
022,Marientalstra�e,887,230,0,1117,507,0,3,504,123,137,152,39,6,24,2,-,-,21
023,Schulstra�e,999,275,0,1274,560,0,2,558,136,153,167,43,7,27,5,-,-,20
024,Schloss,1112,387,0,1499,588,0,3,585,220,107,122,79,11,17,2,-,-,27
025,Wilhelmstra�e,958,284,0,1242,439,0,8,431,126,101,122,38,7,18,1,-,-,18
031,Finkenstra�e,894,243,0,1137,580,0,3,577,174,137,166,41,3,31,4,-,-,21
032,Tannenbergstra�e,946,243,0,1189,518,0,2,516,101,158,189,21,6,23,5,-,-,13
033,Siverdesstra�e,891,244,0,1135,457,0,3,454,101,118,159,24,3,21,7,-,-,21
034,Coerdestra�e,819,226,0,1045,484,0,1,483,135,122,133,47,7,14,4,-,-,21
035,Hoyastra�e,1083,344,0,1427,661,0,2,659,204,145,205,55,5,25,3,-,-,17
036,Gertrudenstra�e,985,296,0,1281,633,0,3,630,192,145,173,52,5,31,12,-,-,20
041,Holsteiner Stra�e,898,250,0,1148,498,0,2,496,169,134,99,38,8,23,13,-,-,12
042,Mecklenburger Stra�e,632,165,0,797,364,0,2,362,113,93,90,26,9,17,3,-,-,11
043,Staufenstra�e,997,258,0,1255,522,0,3,519,117,143,169,44,5,20,2,-,-,19
044,Overbergstra�e,705,191,0,896,382,0,1,381,73,102,154,17,5,18,2,-,-,10
045,Landeshaus,743,246,0,989,427,0,0,427,147,107,102,35,2,17,2,-,-,15
046,Zeppelinstra�e,1057,232,0,1289,506,0,4,502,116,156,131,47,4,30,4,-,-,14
047,Gartenstra�e,1267,314,0,1581,683,0,3,680,236,159,168,54,10,26,7,-,-,20
051,Salzmannstra�e,1178,157,0,1335,453,0,2,451,115,125,130,29,9,22,3,-,-,18
052,Nevinghoff/Flandernstra�e,803,232,0,1035,372,0,2,370,110,94,94,27,6,28,2,-,-,9
053,Rumphorstweg,854,322,0,1176,499,0,5,494,165,123,118,37,14,17,8,-,-,12
054,Uppenkampstiege,675,245,0,920,449,0,5,444,167,84,103,58,6,9,4,-,-,13
055,Kinderhauser Stra�e,1467,305,0,1772,521,0,2,519,132,131,146,51,7,25,8,-,-,19
056,Dreizehnerstra�e,1189,168,0,1357,580,0,5,575,120,173,180,39,10,35,5,-,-,13
061,Hoppengarten,1037,306,0,1343,744,0,3,741,227,172,248,43,11,10,30,-,-,-
062,Saarstra�e,1310,335,0,1645,766,0,2,764,249,208,215,36,13,32,11,-,-,-
063,Ostmarkstra�e,1196,247,0,1443,592,0,1,591,144,148,188,50,13,34,14,-,-,-
064,P�tterhoek,1084,247,0,1331,572,0,8,564,186,186,130,28,12,16,6,-,-,-
065,K�sliner Stra�e,1069,265,0,1334,567,0,2,565,176,174,136,38,6,27,8,-,-,-
071,Kirchstra�e,1260,340,0,1600,732,0,1,731,215,186,243,45,10,15,17,-,-,-
072,Dechaneistra�e,800,251,0,1051,468,0,3,465,149,127,129,35,3,18,4,-,-,-
073,Prozessionsweg,929,300,0,1229,593,0,6,587,249,109,153,53,8,12,3,-,-,-
074,Oststra�e,1004,234,0,1238,580,0,2,578,125,161,215,33,6,33,5,-,-,-
075,Zumsandestra�e,1076,300,0,1376,557,0,3,554,131,161,193,35,6,26,2,-,-,-
081,Mauritz-Lindenweg,809,383,0,1192,558,0,5,553,289,124,95,24,2,12,4,-,-,3
082,Mindener Stra�e,1161,242,0,1403,619,0,1,618,192,172,163,40,2,23,5,-,-,21
083,Lambertistra�e,1355,274,0,1629,632,0,4,628,139,147,211,57,7,33,3,-,-,31
084,Hansaplatz,1102,263,0,1365,513,0,1,512,100,148,176,30,1,31,2,-,-,24
085,Sophienstra�e,1288,302,0,1590,602,0,6,596,124,170,215,28,4,29,4,-,-,22
091,Bahnhofstra�e,1343,304,0,1647,595,0,5,590,149,149,170,34,8,39,3,2,3,33
092,Bremer Platz,1414,318,0,1732,626,0,7,619,117,163,211,41,7,42,3,4,3,28
093,Bremer Stra�e,550,115,0,665,221,0,3,218,28,65,67,11,0,25,1,2,2,17
094,Josef,1073,299,0,1372,561,0,5,556,167,158,150,29,5,20,3,0,3,21
095,Antoniuskirche,1112,336,0,1448,552,0,1,551,117,167,163,51,5,23,0,2,0,23
101,Zumbroockstra�e,801,171,0,972,394,0,8,386,92,113,120,20,5,17,2,-,-,17
102,Hafen,658,124,0,782,300,0,2,298,57,58,124,20,1,15,1,-,-,22
103,Alfred-Krupp-Weg,1070,169,0,1239,401,0,1,400,106,158,68,19,5,25,5,-,-,14
104,Herdingstra�e,951,132,0,1083,376,0,5,371,82,114,91,27,13,23,4,-,-,17
105,Dahlweg,910,144,0,1054,462,0,5,457,81,166,133,24,5,20,9,-,-,19
106,Scheibenstra�e,781,193,0,974,353,0,2,351,89,92,123,20,5,10,3,-,-,9
107,Kronprinzenstra�e,988,185,0,1173,551,0,5,546,107,190,171,35,6,14,7,-,-,16
111,Antoniusstra�e,755,165,0,920,390,0,2,388,142,111,82,39,1,11,2,-,-,-
112,Hornstra�e,704,198,0,902,387,0,1,386,93,119,123,28,9,13,1,-,-,-
113,Wei�enburgstra�e,1225,222,0,1447,589,0,3,586,159,178,176,24,7,31,11,-,-,-
114,Oberschlesier Stra�e,1196,191,0,1387,520,0,7,513,117,176,130,22,12,50,6,-,-,-
115,Gr�ner Grund,1136,199,0,1335,578,0,7,571,112,185,197,33,6,30,8,-,-,-
116,Turmstra�e,1037,280,0,1317,649,0,4,645,229,136,191,42,11,28,8,-,-,-
121,Scharnhorststra�e,1239,354,0,1593,580,0,5,575,185,144,170,50,5,16,5,-,-,-
122,Pluggendorf,1298,389,0,1687,607,0,5,602,256,141,134,36,8,22,5,-,-,-
123,Goerdelerstra�e,898,243,0,1141,363,0,1,362,111,114,74,25,7,27,4,-,-,-
124,Stephanuskirchplatz,761,184,0,945,399,0,4,395,140,122,77,30,3,20,3,-,-,-
125,Lange Ossenbeck,1009,280,0,1289,515,0,1,514,196,165,103,28,1,19,2,-,-,-
126,Delpstra�e,635,241,0,876,433,0,4,429,202,83,97,32,3,8,4,-,-,-
131,Els�sser Stra�e,1274,243,0,1517,693,0,2,691,161,202,219,54,12,42,1,-,-,-
132,Spichernstra�e,1279,208,0,1487,644,0,9,635,206,216,117,60,14,20,2,-,-,-
133,Sternbusch,1075,271,0,1346,617,0,2,615,227,178,143,41,11,13,2,-,-,-
134,Kriegerweg,818,188,0,1006,388,0,4,384,131,158,52,20,8,14,1,-,-,-
135,Clemenshospital,1283,336,0,1619,647,0,3,644,276,193,88,47,17,16,7,-,-,-
141,Schulzentrum Kinderhaus,629,78,0,707,297,0,2,295,118,95,33,28,5,11,0,-,-,5
142,Idenbrockplatz,747,101,0,848,263,0,1,262,108,69,33,29,5,15,1,-,-,2
143,Neuer Heidkamp,894,200,0,1094,455,0,4,451,114,163,99,39,5,21,0,-,-,10
144,Helmholtzweg,540,153,0,693,333,0,2,331,121,95,78,24,1,3,3,-,-,6
145,Fernholzstra�e,1040,326,0,1366,642,0,2,640,197,235,132,42,15,8,2,-,-,9
146,Br�ningheide,865,85,0,950,291,0,4,287,116,93,30,20,11,14,1,-,-,2
147,Killingstra�e,789,26,0,815,177,0,2,175,48,85,15,6,7,11,0,-,-,3
151,Sprakeler Stra�e,1076,188,0,1264,631,0,5,626,359,148,37,45,7,20,5,-,-,5
152,Sandruper Stra�e,740,103,0,843,344,0,1,343,174,78,39,23,5,17,3,-,-,4
153,Br�derichweg,1247,228,0,1475,655,0,5,650,243,184,99,57,15,27,7,-,-,18
154,Rektoratsweg,1101,262,0,1363,474,0,2,472,139,173,92,27,10,22,2,-,-,7
155,Heidk�ttersweg,945,190,0,1135,444,0,6,438,158,135,57,35,14,29,4,-,-,6
156,Kristiansandstra�e,1122,224,0,1346,522,0,2,520,216,117,97,44,16,18,4,-,-,8
161,Dachsleite,1121,129,0,1250,316,0,2,314,145,118,24,10,2,11,4,-,-,-
162,K�nigsberger Stra�e,1357,207,0,1564,392,0,8,384,128,115,49,36,6,40,10,-,-,-
163,An der Meerwiese,1164,132,0,1296,448,0,4,444,126,155,88,38,7,27,3,-,-,-
164,G�rlitzer Stra�e,857,154,0,1011,365,0,5,360,135,114,37,40,2,29,3,-,-,-
165,Breslauer Stra�e,871,132,0,1003,335,0,4,331,155,100,23,24,2,21,6,-,-,-
166,Marderweg,965,63,0,1028,188,0,0,188,78,64,18,15,0,12,1,-,-,-
171,Gelmer,1204,187,0,1391,704,0,6,698,374,146,70,76,8,22,2,-,-,-
172,Dyckburgstra�e,1044,288,0,1332,552,0,6,546,261,114,92,50,9,14,6,-,-,-
173,Birkenweg,824,201,0,1025,492,0,3,489,186,96,128,43,11,23,2,-,-,-
174,An der Konradkirche,848,294,0,1142,550,0,2,548,287,77,66,92,16,8,2,-,-,-
175,Maikottenh�he,676,205,0,881,459,0,1,458,183,82,84,44,55,7,3,-,-,-
181,Hornheide,776,142,0,918,447,0,4,443,202,120,55,35,12,14,5,-,-,-
182,Kasewinkel,747,247,0,994,513,0,1,512,247,112,47,54,11,7,34,-,-,-
183,Kr�sbreede,832,200,0,1032,525,0,6,519,292,98,59,45,8,8,9,-,-,-
184,Heriburgstra�e,1209,289,0,1498,755,0,5,750,340,220,87,54,14,15,20,-,-,-
185,Dorbaum,1191,161,0,1352,656,0,5,651,245,217,60,57,40,19,13,-,-,-
191,Haus-Kleve-Weg,947,244,0,1191,545,0,6,539,273,109,68,58,8,13,3,-,-,7
192,Hegerskamp,1355,262,0,1617,690,0,10,680,213,229,140,38,7,29,8,-,-,16
193,Damaschkeweg,877,169,0,1046,404,0,5,399,140,106,74,31,11,17,6,-,-,14
194,Franz-Grillparzer-Weg,1141,254,0,1395,721,0,5,716,247,196,160,56,15,19,3,-,-,20
201,B�ddingheideweg,1372,267,0,1639,697,0,4,693,316,137,129,54,10,24,6,-,-,17
202,Delstrup,1164,149,0,1313,733,0,5,728,391,125,138,39,4,18,7,-,-,6
203,Kranichweg,1138,263,0,1401,652,0,4,648,358,125,98,46,1,7,2,-,-,11
204,Letterhausweg,922,142,0,1064,396,0,4,392,140,104,77,33,5,12,2,-,-,19
205,Biederlackweg,938,170,0,1108,542,0,6,536,262,142,73,31,3,12,1,-,-,12
206,L�tkenbecker Weg,1295,245,0,1540,560,0,4,556,192,145,115,42,12,28,6,-,-,16
211,Kreuzbach,836,196,0,1032,503,0,2,501,266,122,65,27,4,6,2,-,-,9
212,Jochen-Klepper-Stra�e,824,172,0,996,463,0,1,462,222,107,47,51,4,15,2,-,-,14
213,Zumbuschstra�e,959,191,0,1150,504,0,4,500,222,159,51,42,6,14,1,-,-,5
214,Am Berler Kamp,1202,302,0,1504,735,0,3,732,329,211,85,60,17,12,3,-,-,15
215,Hofstra�e,778,106,0,884,342,0,2,340,178,72,41,23,1,15,2,-,-,8
216,Hofkamp,1120,318,0,1438,683,0,3,680,252,172,146,72,9,12,4,-,-,13
221,Angelstra�e,1371,348,0,1719,949,0,3,946,470,173,180,88,8,25,2,-,-,-
222,Theodor-Heuss-Stra�e,727,114,0,841,366,0,4,362,195,88,46,13,3,16,1,-,-,-
223,Bachstra�e,918,104,0,1022,246,0,4,242,93,72,35,18,5,19,0,-,-,-
224,Albersloher Weg,1313,274,0,1587,666,0,5,661,318,152,87,63,10,27,4,-,-,-
225,Heidestra�e,1025,154,0,1179,494,0,3,491,241,107,81,44,4,12,2,-,-,-
231,Siemensstra�e,685,129,0,814,282,0,2,280,90,100,39,28,2,18,3,-,-,-
232,Vennheideweg,897,188,0,1085,372,0,5,367,121,108,56,48,11,19,4,-,-,-
233,H�nenburg,991,265,0,1256,501,0,7,494,207,125,61,69,2,22,8,-,-,-
234,Wielandstra�e,1187,157,0,1344,633,0,4,629,233,187,117,50,5,27,10,-,-,-
235,Albertsheide,715,90,0,805,280,0,1,279,115,74,29,42,7,9,3,-,-,-
236,Hogenbergstra�e,1118,127,0,1245,394,0,6,388,151,174,22,14,6,15,6,-,-,-
237,Am Berg Fidel,854,96,0,950,214,0,3,211,79,94,15,8,1,13,1,-,-,-
241,Ringstra�e,1131,195,0,1326,664,0,3,661,295,195,94,44,6,24,3,-,-,-
242,Paul-Klee-Weg,819,177,0,996,479,0,2,477,227,132,58,50,4,5,1,-,-,-
243,Emil-Nolde-Weg,605,168,0,773,398,0,5,393,203,105,33,38,5,9,0,-,-,-
244,H�lsheide,1007,150,0,1157,472,0,2,470,196,155,52,47,1,15,4,-,-,-
245,Am Roggenkamp,1097,158,0,1255,556,0,8,548,241,163,53,61,4,22,4,-,-,-
251,Geistkamp,1212,382,0,1594,709,0,5,704,362,178,67,78,6,12,1,-,-,-
252,H�lsebrockstra�e,1345,310,0,1655,690,0,2,688,323,177,60,88,8,27,5,-,-,-
253,Marktallee,1274,188,0,1462,550,0,5,545,240,145,57,61,14,23,5,-,-,-
254,Am Klosterwald,1388,191,0,1579,608,0,4,604,220,181,99,69,14,13,8,-,-,-
255,Friedhofstra�e,1439,230,0,1669,497,0,6,491,224,121,53,52,15,21,5,-,-,-
261,Loevelingloh,859,133,0,992,418,0,4,414,280,48,39,37,4,6,0,-,-,-
262,Theodor-Storm-Stra�e,1177,189,0,1366,599,0,4,595,257,139,90,75,12,20,2,-,-,-
263,Langestra�e,822,85,0,907,333,0,2,331,140,85,42,37,5,19,3,-,-,-
264,Hansestra�e,1101,182,0,1283,532,0,5,527,239,122,91,43,13,17,2,-,-,-
265,Auf der Woort,1940,272,0,2212,993,0,7,986,488,250,127,71,16,28,6,-,-,-
266,Pater-Kolbe-Stra�e,1128,214,0,1342,585,0,1,584,301,148,65,46,7,13,4,-,-,-
271,Oberort,1212,172,0,1384,709,0,6,703,400,164,50,64,4,14,7,-,-,-
272,Heroldstra�e,1088,255,0,1343,637,0,3,634,271,136,140,62,4,17,4,-,-,-
273,Albachtener Stra�e/Steinkuhle,1415,235,0,1650,718,0,3,715,328,210,72,65,14,21,5,-,-,-
274,In der Weede,1104,199,0,1303,611,0,5,606,234,189,86,60,13,21,3,-,-,-
281,Dingb�ngerweg,825,219,0,1044,458,0,3,455,185,124,74,48,2,14,0,-,-,8
282,Ossenkampstiege,1237,264,0,1501,575,0,2,573,218,157,105,48,3,22,5,-,-,15
283,Am Dill,811,185,0,996,473,0,2,471,143,150,117,29,9,10,1,-,-,12
284,Rote Erde,879,123,0,1002,443,0,2,441,183,121,87,25,7,12,2,-,-,4
285,Hesselmann,1208,147,0,1355,667,0,3,664,215,191,152,48,11,29,3,-,-,15
291,Havixbecker Stra�e,1511,221,0,1732,793,0,7,786,461,139,79,70,13,17,7,-,-,-
292,Altenroxeler Stra�e,965,201,0,1166,404,0,1,403,194,107,48,34,6,13,1,-,-,-
293,Stellmacherweg,1049,258,0,1307,548,0,1,547,284,116,51,68,11,16,1,-,-,-
294,Paul-Gerhardt-Stra�e,853,169,0,1022,414,0,2,412,210,91,54,30,5,16,6,-,-,-
295,Schelmenstiege,1049,267,0,1316,527,0,2,525,233,140,83,39,12,11,7,-,-,-
301,Bentelerstra�e,930,237,0,1167,396,0,1,395,91,120,96,42,8,11,2,-,-,25
302,Philippistra�e,679,141,0,820,235,0,1,234,55,65,70,15,0,15,2,-,-,12
303,Sentruper H�he,1239,421,0,1660,622,0,5,617,238,150,114,75,8,9,4,-,-,19
304,Redigerstra�e,1075,313,0,1388,760,0,3,757,319,139,185,81,9,9,5,-,-,10
311,Heekweg,703,134,0,837,207,0,1,206,53,43,56,24,4,16,0,-,-,10
312,N�nningweg,892,258,0,1150,534,0,1,533,202,110,131,49,7,22,7,-,-,5
313,Ramertsweg,887,198,0,1085,577,0,1,576,235,119,127,44,19,12,7,-,-,13
314,Dieckmannstra�e,1544,164,0,1708,710,0,7,703,251,143,169,62,26,25,6,-,-,21
315,Doornbeckeweg,769,137,0,906,406,0,5,401,165,100,73,29,10,7,6,-,-,11
321,Legdenweg,1408,175,0,1583,507,0,2,505,131,159,108,36,15,28,7,-,-,21
322,Gievenbecker Weg,813,184,0,997,449,0,3,446,140,118,90,55,10,8,12,-,-,13
323,Potstiege,1245,285,0,1530,679,0,5,674,231,173,97,110,8,32,3,-,-,20
324,Twenteweg,1019,192,0,1211,447,0,3,444,147,92,91,62,13,16,17,-,-,6
325,Gescherweg,789,175,0,964,257,0,0,257,51,74,69,31,2,13,1,-,-,16
331,H�ger,685,99,0,784,440,0,3,437,206,44,48,39,79,6,1,-,-,14
332,Sebastianstra�e,1391,298,0,1689,749,0,6,743,328,168,93,103,16,10,4,-,-,21
333,Stefan-Zweig-Stra�e,1104,281,0,1385,593,0,7,586,280,120,87,49,17,18,0,-,-,15
334,Von-Schonebeck-Ring,1136,285,0,1421,625,0,9,616,261,143,83,64,20,20,2,-,-,23
B501,Brief Altstadt 1,0,0,0,0,722,0,1,721,363,120,119,68,17,8,5,-,-,21
B601,Brief Altstadt 2,0,0,0,0,818,0,5,813,461,130,112,64,14,11,3,-,-,18
B502,Brief Schloss 1,0,0,0,0,743,0,4,739,236,187,183,90,3,19,0,-,-,21
B602,Brief Schloss 2,0,0,0,0,632,0,3,629,254,134,108,93,7,15,3,-,-,15
B503,Brief Kreuz 1,0,0,0,0,687,0,1,686,297,146,138,65,6,14,2,-,-,18
B603,Brief Kreuz 2,0,0,0,0,816,0,8,808,313,154,184,88,9,34,10,-,-,16
